RecordType
LastRecordIndicator
Numerator
MarketID
ContractNumber
SymbolEnglish
SymbolHebrew
NameEnglish
NameHebrew
Sector
SubSector
ContractType
NewCntractAddedDuringTheDay
UnderlyingAssetCode
UnderlyingAssetType
UnderlyingAsset
ISINCode
MinimumOrderSizeduringcontinuousstage
MaximumOrderSizeduringcontinuousstage
FloorPrice
CeilingPrice
BasePrice
BasePriceTypeCode
ContractStage
ExpirationDate
StrikePrice
MultiplierForCalculatingVolume_IntTermsOfUnderlyingAsset
CodeForCalculatingVolume_IntTermsOfUnderlyingAsset
InitializationCode
AdjustedContract
ExactExpirationDate
MarketStatus
TradeSuspensionCode
TradeSuspensionReason
TradeSuspensionOpened
BidPrice1
BidPrice2
BidPrice3
BidVolume1
BidVolume2
BidVolume3
RetransmissionIndicator
NumberofLevels
BidPrice4
BidVolume4
BidPrice5
BidVolume5
OfferPrice1
OfferPrice2
OfferPrice3
OfferVolume1
OfferVolume2
OfferVolume3
OfferPrice4
OfferVolume4
OfferPrice5
OfferVolume5
Price
PriceCode
PriceTypeCode
PercentageChange
LastSalePrice
LastSaleTime
LastSaleVolume
Volume
MonetaryVolume
NumberofTrades
CoordinatedTradeIndicator
Volumeinthousandsunitsflag
MonetaryvolumeinthousandsNISflag
TodayHighestPrice
TodayLowestPrice
OpenPositions
PositionChangePercentage
NextDayStatus
