RecordType
LastRecordIndicator
Numerator
MarketID
SecurityID
SymbolEnglish
SymbolHebrew
NameEnglish
NameHebrew
Sector
SubSector
SecurityType
SecuritySubType
TA125Index
TA35Index
CurrencyCode
CompanyID
ISINCode
MinimumOrderSizeduringcontinuousstage
ExceptionalOrderSize
FloorPriceOpeningStage
CeilingPriceOpeningStage
FloorPriceContinuousStage
CeilingPriceContinuousStage
BasePrice
SecurityStatusCode
ExCode
ExDescription
InitializationCode
DualRegisteredCode
NewSecurityIndicator
MarketMakeronSecurity
MaintenanceLowLiquidityIndicator
Minimumordersizeduringpreopen
Minimumordersizeduringpreclose
TradingStage
TradeSuspensionCode
TradeSuspensionReason
TradeSuspensionOpened
BidPrice1
BidPrice2
BidPrice3
BidVolume1
BidVolume2
BidVolume3
VolumeatMarketPrice
VolumeatMarketPriceCode
RetransmissionIndicator
NumberofLevels
BidPrice4
BidVolume4
BidPrice5
BidVolume5
OfferPrice1
OfferPrice2
OfferPrice3
OfferVolume1
OfferVolume2
OfferVolume3
OfferPrice4
OfferVolume4
OfferPrice5
OfferVolume5
Price
PriceCode
Volume
PercentageChange
Yield
LastSalePrice
LastSaleTime
LastSaleVolume
MonetaryVolume
NumberofTrades
CoordinatedTradeIndicator
Volumeinthousandsunitsflag
MonetaryvolumeinthousandsNISflag
TodayHighestPrice
TodayLowestPrice
BaseYield
MaturityDate
AccruedInterest
